題號,題幹,選項,正解,圖片檔名
2,顯微鏡為精密儀器，適當的清潔與維護是重要的。有關顯微鏡的清潔維護，下列何者錯誤？,"{'A': 'A. 清潔鏡頭只能用高品質的拭鏡紙及特定的清潔品', 'B': 'B. 在任何情況下，鏡頭都不能使用酒精做擦拭', 'C': 'C. 操作完畢後，浸油的鏡片要擦拭乾淨', 'D': 'D. 顯微鏡不用時，應將低倍物鏡轉至觀察位置，載物台應移至中間'}",B,Q002.jpg
3,腎臟藉由下列何種作用以保存過濾液中的營養素？,"{'A': 'A. 過濾', 'B': 'B. 再吸收', 'C': 'C. 分泌', 'D': 'D. 濃縮'}",B,Q003.jpg
4,關於尿試紙測尿糖原理的敘述，下列何者錯誤？,"{'A': 'A. 尿試紙檢測的試劑含有葡萄糖還原酶，因此對葡萄糖有專一性', 'B': 'B. 結果以半定量呈現', 'C': 'C. 尿中維生素C大於50 mg/dL可造成偽陰性結果', 'D': 'D. 只能測葡萄糖'}",D,Q004.jpg
5,以Clinitesi錠劑法檢測尿糖時，下列敘述何者正確？,"{'A': 'A. 過程需要用火加熱', 'B': 'B. 不需留意尿中是否有抗生素干擾反應結果', 'C': 'C. 靈敏度比尿試紙法差', 'D': 'D. 適用於檢測所有糖類'}",A,Q005.jpg
6,關於尿試紙上附有重氮鹽試劑之檢驗項目，下列組合何者正確？,"{'A': 'A. 尿膽素原、亞硝酸鹽', 'B': 'B. 葡萄糖、酮體', 'C': 'C. 膽紅素、亞硝酸鹽', 'D': 'D. 膽紅素、白血球酯酶'}",C,Q006.jpg
7,下列何種尿試紙檢測項目主要是利用Ehrlich’s reaction的原理？,"{'A': 'A. 蛋白質', 'B': 'B. 膽紅素', 'C': 'C. 尿膽素原', 'D': 'D. 亞硝酸鹽'}",C,Q007.jpg
8,下列何者常用來校正尿液稀釋或濃縮的狀態，以減少尿蛋白檢測的誤差？,"{'A': 'A. 尿素', 'B': 'B. 氯化鈉', 'C': 'C. 肌酸酐', 'D': 'D. 比重'}",C,Q008.jpg
9,有關iQ200與UF-1000i自動化尿液分析儀器偵測尿液細胞之敘述，下列何者正確？,"{'A': 'A. 二者皆需要染色', 'B': 'B. 二者皆不需要離心檢體', 'C': 'C. iQ200需要離心檢體，UF-1000i不需要離心檢體', 'D': 'D. iQ200需要染色，UF-1000i不需要染色'}",D,Q009.jpg
10,尿液檢體在室溫中放置過久，下列何種成分會減少？,"{'A': 'A. 無定形磷酸鹽結晶', 'B': 'B. 細菌', 'C': 'C. 葡萄糖', 'D': 'D. 亞硝酸鹽'}",C,Q010.jpg
11,以尿液試紙法篩檢尿蛋白呈陽性後，需用下列何種檢驗方法再做確認診斷？,"{'A': 'A. Benedict’s test', 'B': 'B. Nitroprusside test', 'C': 'C. Clinitest', 'D': 'D. 3% SSA test'}",D,Q011.jpg
12,人體每天大約有9000 mL的水分進入消化道，最後大腸再吸收；正常情況下大腸再吸收水分的最大量是多少mL？,"{'A': 'A. 150', 'B': 'B. 500', 'C': 'C. 1500', 'D': 'D. 30'}",C,Q012.jpg
13,使用放射性同位素進行胃腸出血的定量，乃利用下列何者，故優於糞便的潛血試驗？,"{'A': 'A. 鉻（chromium）-51', 'B': 'B. 鐵（ferric）-26', 'C': 'C. 碳（carbon）-14', 'D': 'D. 氧（oxygen）-18'}",A,Q013.jpg
14,有關糞便檢體採集的敘述，下列何者錯誤？,"{'A': 'A. 檢體採集後，應該儘快送檢', 'B': 'B. 液態糞便如不能立即送檢，可冷藏置放，隔日送檢', 'C': 'C. 檢體不可以污染到尿液', 'D': 'D. 可添加固定液以助寄生蟲卵形態的檢查'}",B,Q014.jpg
15,糞便進行總脂肪鏡檢時，須加入下列何者後再加熱，可使中性脂肪及皂（soap）水解成脂肪酸？,"{'A': 'A. Sudan III', 'B': 'B. 95% ethyl alcohol', 'C': 'C. 36% acetic acid', 'D': 'D. 1% sodium hydroxide'}",D,Q015.jpg
16,支氣管肺泡灌洗液進行白血球分類檢查，嗜中性白血球占50%以上與下列何者最不相關？,"{'A': 'A. 過敏反應性肺炎', 'B': 'B. 急性肺損傷', 'C': 'C. 吸入性肺炎', 'D': 'D. 化膿性感染'}",A,Q016.jpg
17,下列何者為痰液的心臟衰竭細胞？,"{'A': 'A. 含有血鐵質的口噬細胞', 'B': 'B. 含有碳粒的口噬細胞', 'C': 'C. 聚集成團的柱狀支氣管上皮細胞', 'D': 'D. 聚集成團的柱狀支氣管上皮細胞'}",A,Q017.jpg
18,有關顱內出血腦脊髓液的特徵，下列何者錯誤？,"{'A': 'A. 血液均勻分布於探檢的1、2、3管中', 'B': 'B. 檢體呈現凝固現象', 'C': 'C. 檢體離心後上清液呈現xanthochromia', 'D': 'D. 顯微鏡觀察到巨噬細胞吞噬紅血球'}",B,Q018.jpg
19,有關腦脊髓液白蛋白與血清白蛋白比值之敘述，下列何者正確？,"{'A': 'A. 比值升高與顱內合成相關', 'B': 'B. 比值降低與顱內合成相關', 'C': 'C. 比值升高與血腦屏障受損相關', 'D': 'D. 比值降低與血腦屏障受損相關'}",C,Q019.jpg
20,有關腦脊髓液葡萄糖含量之敘述，下列何者正確？,"{'A': 'A. 正常人不含葡萄糖', 'B': 'B. 細菌感染時會上升', 'C': 'C. 多發性硬化症會上升', 'D': 'D. 其值與血糖含量相關'}",D,Q020.jpg
21,下圖例中箭頭指示的中皮細胞主要為何種期型或特性？,"{'A': 'A. 靜止期', 'B': 'B. 反應期', 'C': 'C. 變性退化期', 'D': 'D. 癌變期'}",B,Q021.jpg
22,尿毒症產生的心包積水，通常為澄清的何種顏色？,"{'A': 'A. 黑色', 'B': 'B. 綠色', 'C': 'C. 紅色', 'D': 'D. 黃色'}",D,Q022.jpg
23,關於腹膜炎（peritoneal fluid）檢測的敘述，下列何者正確？,"{'A': 'A. 檢體中淋巴球占大多數，比率高於50%，可能是細菌性腹膜炎', 'B': 'B. 紅血球計數為100000個/dL，顯示極有可能是腹部內出血性創傷', 'C': 'C. 嗜酸性白血球數目增加，可能與長期腹膜透析有關', 'D': 'D. 自發性細菌性腹膜炎患者，其pH值低於7.15，表現後較佳'}",C,Q023.jpg
24,腹水在做細胞計數及分類時，採檢試管之內含物為何？,"{'A': 'A. 肝素（heparin）', 'B': 'B. EDTA', 'C': 'C. 不含抗凝劑', 'D': 'D. NaF'}",C,Q024.jpg
25,下列何者是構成滑膜炎具黏稠性的主要物質？,"{'A': 'A. 白蛋白', 'B': 'B. 鐵酸', 'C': 'C. 玻尿酸', 'D': 'D. 唾液酸'}",C,Q025.jpg
26,有關關節液鏡檢結果，下列何者不具病理意義？,"{'A': 'A. Calcium phosphate', 'B': 'B. Calcium pyrophosphate', 'C': 'C. Talcum powder', 'D': 'D. Calcium oxalate'}",C,Q026.jpg
27,正常精液不含下列何者？,"{'A': 'A. Flavin', 'B': 'B. Fructose', 'C': 'C. Ascorbic acid', 'D': 'D. Bilirubin'}",D,Q027.jpg
28,精液若以一般保險套運送時，下列何者是造成精蟲數量不變但活動性卻明顯降低的原因？,"{'A': 'A. 果糖降低', 'B': 'B. 殺精劑的作用', 'C': 'C. pH上升', 'D': 'D. 黏稠度增加'}",B,Q028.jpg
29,單次射精之精液果糖含量的低參考極限為多少μmol？,"{'A': 'A. 2', 'B': 'B. 5', 'C': 'C. 13', 'D': 'D. 20'}",C,Q029.jpg
