題號,題幹,選項A,選項B,選項C,選項D,正解,圖片檔名
2,顯微鏡為精密儀器，適當的清潔與維護是重要的。有關顯微鏡的清潔維護，下列何者錯誤？,A.清潔鏡頭只能用高品質的拭鏡紙及特定的清潔品,B.在任何情況下，鏡頭都不能使用酒精做擦拭,C.操作完畢後，浸油的鏡片要擦拭乾淨,D.顯微鏡不用時，應將低倍物鏡轉至觀察位置，載物台應移至中間,B,Q002.jpg
3,腎臟藉由下列何種作用以保存過濾液中的營養素？,A.過濾,B.再吸收,C.分泌,D.濃縮,B,Q003.jpg
4,關於尿試紙測尿糖原理的敘述，下列何者錯誤？,A. 尿試紙檢測的試劑含有葡萄糖還原酶，因此對葡萄糖有專一性,B. 結果以半定量呈現,C. 尿中維生素C大於50 mg/dL可造成偽陰性結果,D. 只能測葡萄糖,D,Q004.jpg
5,以Clinitesi錠劑法檢測尿糖時，下列敘述何者正確？,A. 過程需要用火加熱,B. 不需留意尿中是否有抗生素干擾反應結果,C. 靈敏度比尿試紙法差,D. 適用於檢測所有糖類,A,Q005.jpg
6,關於尿試紙上附有重氮鹽試劑之檢驗項目，下列組合何者正確？,A. 尿膽素原、亞硝酸鹽,B. 葡萄糖、酮體,C. 膽紅素、亞硝酸鹽,D. 膽紅素、白血球酯酶,C,Q006.jpg
7,下列何種尿試紙檢測項目主要是利用Ehrlich’s reaction的原理？,A. 蛋白質,B. 膽紅素,C. 尿膽素原,D. 亞硝酸鹽,C,Q007.jpg
8,下列何者常用來校正尿液稀釋或濃縮的狀態，以減少尿蛋白檢測的誤差？,A. 尿素,B. 氯化鈉,C. 肌酸酐,D. 比重,C,Q008.jpg
9,有關iQ200與UF-1000i自動化尿液分析儀器偵測尿液細胞之敘述，下列何者正確？,A. 二者皆需要染色,B. 二者皆不需要離心檢體,C. iQ200需要離心檢體，UF-1000i不需要離心檢體,D. iQ200需要染色，UF-1000i不需要染色,D,Q009.jpg
10,尿液檢體在室溫中放置過久，下列何種成分會減少？,A. 無定形磷酸鹽結晶,B. 細菌,C. 葡萄糖,D. 亞硝酸鹽,C,Q010.jpg
11,以尿液試紙法篩檢尿蛋白呈陽性後，需用下列何種檢驗方法再做確認診斷？,A. Benedict’s test,B. Nitroprusside test,C. Clinitest,D. 3% SSA test,D,Q011.jpg
12,人體每天大約有9000 mL的水分進入消化道，最後大腸再吸收；正常情況下大腸再吸收水分的最大量是多少mL？,A. 150,B. 500,C. 1500,D. 30,C,Q012.jpg
13,使用放射性同位素進行胃腸出血的定量，乃利用下列何者，故優於糞便的潛血試驗？,A. 鉻（chromium）-51,B. 鐵（ferric）-26,C. 碳（carbon）-14,D. 氧（oxygen）-18,A,Q013.jpg
14,有關糞便檢體採集的敘述，下列何者錯誤？,A. 檢體採集後，應該儘快送檢,B. 液態糞便如不能立即送檢，可冷藏置放，隔日送檢,C. 檢體不可以污染到尿液,D. 可添加固定液以助寄生蟲卵形態的檢查,B,Q014.jpg
15,糞便進行總脂肪鏡檢時，須加入下列何者後再加熱，可使中性脂肪及皂（soap）水解成脂肪酸？,A. Sudan III,B. 95% ethyl alcohol,C. 36% acetic acid,D. 1% sodium hydroxide,D,Q015.jpg
16,支氣管肺泡灌洗液進行白血球分類檢查，嗜中性白血球占50%以上與下列何者最不相關？,A. 過敏反應性肺炎,B. 急性肺損傷,C. 吸入性肺炎,D. 化膿性感染,A,Q016.jpg
17,下列何者為痰液的心臟衰竭細胞？,A. 含有血鐵質的口噬細胞,B. 含有碳粒的口噬細胞,C. 聚集成團的柱狀支氣管上皮細胞,D. 聚集成團的柱狀支氣管上皮細胞,A,Q017.jpg
18,有關顱內出血腦脊髓液的特徵，下列何者錯誤？,A. 血液均勻分布於探檢的1、2、3管中,B. 檢體呈現凝固現象,C. 檢體離心後上清液呈現xanthochromia,D. 顯微鏡觀察到巨噬細胞吞噬紅血球,B,Q018.jpg
19,有關腦脊髓液白蛋白與血清白蛋白比值之敘述，下列何者正確？,A. 比值升高與顱內合成相關,B. 比值降低與顱內合成相關,C. 比值升高與血腦屏障受損相關,D. 比值降低與血腦屏障受損相關,C,Q019.jpg
20,有關腦脊髓液葡萄糖含量之敘述，下列何者正確？,A. 正常人不含葡萄糖,B. 細菌感染時會上升,C. 多發性硬化症會上升,D. 其值與血糖含量相關,D,Q020.jpg
21,下圖例中箭頭指示的中皮細胞主要為何種期型或特性？,A. 靜止期,B. 反應期,C. 變性退化期,D. 癌變期,B,Q021.jpg
22,尿毒症產生的心包積水，通常為澄清的何種顏色？,A. 黑色,B. 綠色,C. 紅色,D. 黃色,D,Q022.jpg
23,關於腹膜炎（peritoneal fluid）檢測的敘述，下列何者正確？,A. 檢體中淋巴球占大多數，比率高於50%，可能是細菌性腹膜炎,B. 紅血球計數為100000個/dL，顯示極有可能是腹部內出血性創傷,C. 嗜酸性白血球數目增加，可能與長期腹膜透析有關,D. 自發性細菌性腹膜炎患者，其pH值低於7.15，表現後較佳,C,Q023.jpg
24,腹水在做細胞計數及分類時，採檢試管之內含物為何？,A. 肝素（heparin）,B. EDTA,C. 不含抗凝劑,D. NaF,C,Q024.jpg
25,下列何者是構成滑膜炎具黏稠性的主要物質？,A. 白蛋白,B. 鐵酸,C. 玻尿酸,D. 唾液酸,C,Q025.jpg
26,有關關節液鏡檢結果，下列何者不具病理意義？,A. Calcium phosphate,B. Calcium pyrophosphate,C. Talcum powder,D. Calcium oxalate,C,Q026.jpg
27,正常精液不含下列何者？,A. Flavin,B. Fructose,C. Ascorbic acid,D. Bilirubin,D,Q027.jpg
28,精液若以一般保險套運送時，下列何者是造成精蟲數量不變但活動性卻明顯降低的原因？,A. 果糖降低,B. 殺精劑的作用,C. pH上升,D. 黏稠度增加,B,Q028.jpg
29,單次射精之精液果糖含量的低參考極限為多少μmol？,A. 2,B. 5,C. 13,D. 20,C,Q029.jpg
30,有關懷孕時的激素檢測，下列敘述何者錯誤？,A. 人類絨毛膜性腺激素（HCG）為早期檢測是否懷孕的良好指標,B. 雌脂三醇（estriol）在懷孕末期（28～40週）的濃度變化，可以協助診斷懷孕後期毒血症（preeclampsia）,C. 黃體酮（progesterone）在懷孕後，濃度持續增加,D. 甲狀腺素T4濃度變化，協助診斷子宮內成長延遲（intrauterine growth retardation IUGR）,D,Q030.jpg
31,下列那個蟲卵沒有卵塞（plug）？,A. 鞭蟲（Trichuris trichiura）,B. 菲律賓毛細線蟲（Capillaria philippinensis）,C. 肝毛細線蟲（Capillaria hepatica）,D. 犬蛔蟲（Toxocara canis）,D,Q031.jpg
